date,MRK-RF,SMB,HML,RF
201601,-5.77,-3.36,2.01,0.01
201602,-0.08,0.83,-0.6,0.02
201603,6.96,0.82,1.11,0.02
201604,0.92,0.69,3.28,0.01
201605,1.78,-0.27,-1.6,0.01
201606,-0.05,0.64,-1.4,0.02
201607,3.95,2.6,-1.23,0.02
201608,0.5,1.13,3.31,0.02
201609,0.25,2.04,-1.21,0.02
201610,-2.02,-4.43,4.07,0.02
201611,4.86,5.47,8.22,0.01
201612,1.81,0.11,3.51,0.03
201701,1.94,-1.06,-2.81,0.04
201702,3.57,-2.01,-1.79,0.04
201703,0.17,1.17,-3.33,0.03
201704,1.09,0.72,-2.11,0.05
201705,1.06,-2.61,-3.67,0.06
201706,0.78,2.15,1.45,0.06
201707,1.87,-1.47,-0.36,0.07
201708,0.16,-1.62,-2.19,0.09
201709,2.51,4.47,3.14,0.09
201710,2.25,-1.95,0.12,0.09
201711,3.12,-0.58,-0.09,0.08
201712,1.06,-1.29,0.17,0.09
201801,5.58,-3.09,-1.32,0.11
201802,-3.65,0.3,-1.01,0.11
201803,-2.35,4.05,-0.12,0.12
201804,0.29,1.13,0.5,0.14
201805,2.65,5.28,-3.15,0.14
201806,0.48,1.19,-2.31,0.14
201807,3.19,-2.21,0.57,0.16
201808,3.44,1.15,-3.92,0.16
201809,0.06,-2.28,-1.63,0.15
201810,-7.68,-4.78,3.46,0.19
201811,1.69,-0.71,0.34,0.18
201812,-9.55,-2.48,-1.89,0.19
201901,8.41,2.89,-0.46,0.21
201902,3.4,2.12,-2.71,0.18
201903,1.1,-3.05,-4.19,0.19
201904,3.96,-1.75,2.02,0.21
201905,-6.94,-1.18,-2.28,0.21
201906,6.93,0.22,-0.79,0.18
201907,1.19,-2.08,0.34,0.19
201908,-2.58,-2.4,-4.85,0.16
201909,1.43,-1.05,6.77,0.18
201910,2.06,0.24,-1.88,0.15
201911,3.87,0.91,-2.05,0.12
201912,2.77,0.67,1.91,0.14
202001,-0.11,-3.08,-6.27,0.13
202002,-8.13,1.02,-3.92,0.12
202003,-13.38,-5.03,-13.96,0.12
202004,13.65,2.75,-1.39,0
202005,5.58,2.49,-5.05,0.01
202006,2.46,2.71,-2.35,0.01
202007,5.77,-2.18,-1.39,0.01
202008,7.63,-0.25,-2.94,0.01
202009,-3.63,0.06,-2.51,0.01
202010,-2.1,4.44,4.03,0.01
202011,12.47,5.48,2.11,0.01
202012,4.63,4.91,-1.46,0.01
